task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
9	72/9873a1	3655270	MERGE_FASTQ (barcode_08_TNEGP024)	COMPLETED	0	2026-08-12 17:06:53.324	525ms	25ms	125.0%	0	0	256.6 KB	8.7 KB
7	2c/7d176e	3655097	MERGE_FASTQ (barcode_06_TEXTP024)	COMPLETED	0	2026-08-12 17:06:53.256	551ms	26ms	97.0%	0	0	269.8 KB	22 KB
5	b1/ad4c01	3655331	MERGE_FASTQ (barcode_04_026104456604)	COMPLETED	0	2026-08-12 17:06:53.340	500ms	190ms	102.6%	9.1 MB	72.6 MB	244 MB	243.8 MB
6	49/d25acc	3655139	MERGE_FASTQ (barcode_05_026098184903)	COMPLETED	0	2026-08-12 17:06:53.283	710ms	318ms	105.2%	9 MB	72.6 MB	436.4 MB	436.1 MB
2	80/5d37fb	3655206	MERGE_FASTQ (barcode_01_026104456601)	COMPLETED	0	2026-08-12 17:06:53.304	760ms	232ms	105.0%	9.4 MB	72.6 MB	276.8 MB	276.6 MB
8	b0/6773b9	3655239	MERGE_FASTQ (barcode_07_TPOSP024)	COMPLETED	0	2026-08-12 17:06:53.314	766ms	210ms	102.4%	9.3 MB	72.6 MB	248.6 MB	248.3 MB
4	00/725eea	3655116	MERGE_FASTQ (barcode_03_026104456603)	COMPLETED	0	2026-08-12 17:06:53.273	853ms	408ms	101.8%	9 MB	72.6 MB	562.8 MB	562.5 MB
3	3c/4f494f	3655160	MERGE_FASTQ (barcode_02_026104456602)	COMPLETED	0	2026-08-12 17:06:53.291	1.1s	458ms	103.4%	9.3 MB	72.6 MB	605.3 MB	605 MB
12	17/c35957	3656390	DEHOST_HOSTILE (barcode_08_TNEGP024)	COMPLETED	0	2026-08-12 17:06:53.869	12.1s	11.7s	100.0%	8.2 GB	8.6 GB	7.2 GB	3.1 MB
10	88/b0a111	3656314	DEHOST_HOSTILE (barcode_06_TEXTP024)	COMPLETED	0	2026-08-12 17:06:53.852	12.3s	11.9s	99.9%	8.2 GB	8.6 GB	7.2 GB	3.3 MB
18	a4/451a6e	3679198	TRIM_CHOPPER (barcode_08_TNEGP024)	COMPLETED	0	2026-08-12 17:07:05.963	357ms	36ms	120.0%	0	0	189.5 KB	3.3 KB
19	39/5cabae	3679341	TRIM_CHOPPER (barcode_06_TEXTP024)	COMPLETED	0	2026-08-12 17:07:06.137	330ms	34ms	145.6%	0	0	219.6 KB	24.1 KB
14	99/2d0bda	3656951	DEHOST_HOSTILE (barcode_01_026104456601)	COMPLETED	0	2026-08-12 17:06:54.078	28s	27.6s	202.7%	8.5 GB	9.6 GB	9.6 GB	3.4 GB
15	f9/cb660d	3656978	DEHOST_HOSTILE (barcode_07_TPOSP024)	COMPLETED	0	2026-08-12 17:06:54.094	28.7s	28.3s	214.5%	8.4 GB	9.5 GB	9.4 GB	3.1 GB
11	a9/466df2	3656371	DEHOST_HOSTILE (barcode_04_026104456604)	COMPLETED	0	2026-08-12 17:06:53.862	29.3s	29s	217.9%	8.4 GB	9.6 GB	9.3 GB	2.9 GB
16	cc/ebd8aa	3657137	DEHOST_HOSTILE (barcode_03_026104456603)	COMPLETED	0	2026-08-12 17:06:54.159	41.7s	41.4s	253.7%	9 GB	10.3 GB	12.2 GB	7 GB
17	01/93eb25	3657526	DEHOST_HOSTILE (barcode_02_026104456602)	COMPLETED	0	2026-08-12 17:06:54.367	44.7s	44.4s	275.7%	9.1 GB	10.4 GB	12.4 GB	7.3 GB
22	75/247c1e	3687253	TRIM_CHOPPER (barcode_04_026104456604)	COMPLETED	0	2026-08-12 17:07:23.213	20.3s	20s	183.8%	397.6 MB	751.9 MB	1.1 GB	1.1 GB
21	0c/8ace8e	3686530	TRIM_CHOPPER (barcode_07_TPOSP024)	COMPLETED	0	2026-08-12 17:07:22.841	21.1s	20.7s	186.0%	415.8 MB	757.1 MB	1.1 GB	1.1 GB
20	eb/cbcf99	3685576	TRIM_CHOPPER (barcode_01_026104456601)	COMPLETED	0	2026-08-12 17:07:22.095	23.2s	22.9s	185.2%	460.3 MB	693.1 MB	1.3 GB	1.2 GB
1	4c/0ef2c3	3655359	GENERATE_RUN_METADATA	COMPLETED	0	2026-08-12 17:06:53.347	52.6s	52s	100.4%	5.2 MB	24.1 MB	2.3 GB	41.8 KB
23	bf/ff94ce	3693110	TRIM_CHOPPER (barcode_03_026104456603)	COMPLETED	0	2026-08-12 17:07:35.907	47.8s	47.5s	185.4%	934.8 MB	1.1 GB	2.6 GB	2.6 GB
24	5d/407d65	3694619	TRIM_CHOPPER (barcode_02_026104456602)	COMPLETED	0	2026-08-12 17:07:39.044	49.7s	49.4s	185.8%	968.1 MB	1.2 GB	2.7 GB	2.7 GB
13	87/e19320	3656837	DEHOST_HOSTILE (barcode_05_026098184903)	COMPLETED	0	2026-08-12 17:06:54.007	1m 38s	1m 37s	415.6%	8.8 GB	9.9 GB	9.9 GB	3.5 GB
27	8f/f6371c	3697611	AMPLICON_SORTER (barcode_01_026104456601)	COMPLETED	0	2026-08-12 17:07:45.301	5m 54s	5m 54s	317.2%	13.5 GB	25.9 GB	1.7 GB	847.5 MB
26	65/cd16ca	3696846	AMPLICON_SORTER (barcode_07_TPOSP024)	COMPLETED	0	2026-08-12 17:07:43.921	6m 25s	6m 25s	291.4%	12.6 GB	25 GB	1.7 GB	806.1 MB
30	f6/b2f09a	3813109	TRIM_CHOPPER (barcode_05_026098184903)	COMPLETED	0	2026-08-12 17:14:08.593	12.1s	11.8s	176.5%	226.8 MB	501.1 MB	603.1 MB	600.2 MB
25	d5/185a59	3696287	AMPLICON_SORTER (barcode_04_026104456604)	COMPLETED	0	2026-08-12 17:07:43.562	6m 39s	6m 39s	293.7%	12 GB	24.4 GB	1.7 GB	823.4 MB
28	d0/59f1b7	3723067	AMPLICON_SORTER (barcode_03_026104456603)	COMPLETED	0	2026-08-12 17:08:31.691	6m 20s	6m 20s	320.2%	25 GB	37.4 GB	2.3 GB	1.1 GB
31	46/b9726f	3813140	MEDAKA_CONSENSUS (barcode_01_026104456601)	COMPLETED	0	2026-08-12 17:14:08.611	1m 24s	1m 24s	206.3%	731 MB	15.6 GB	2.3 GB	1 GB
34	cc/59f16d	3818898	MEDAKA_CONSENSUS (barcode_04_026104456604)	COMPLETED	0	2026-08-12 17:14:22.189	1m 22s	1m 22s	191.7%	532.1 MB	13.9 GB	2 GB	903.3 MB
32	20/864490	3818877	MEDAKA_CONSENSUS (barcode_07_TPOSP024)	COMPLETED	0	2026-08-12 17:14:22.182	1m 23s	1m 23s	198.0%	889.2 MB	15.3 GB	2.1 GB	958.6 MB
36	46/de3c86	3845550	ALIGN_BAM (barcode_01_026104456601)	COMPLETED	0	2026-08-12 17:15:32.989	31.5s	31.2s	309.6%	1.1 GB	2.1 GB	1.2 GB	1 GB
39	7c/4c6e28	3862308	COMPUTE_BAM_COVERAGE (barcode_01_026104456601)	COMPLETED	0	2026-08-12 17:16:04.511	5.3s	4.9s	100.1%	10.1 MB	47.9 MB	220.8 MB	99.9 KB
37	d1/e897a3	3852202	ALIGN_BAM (barcode_04_026104456604)	COMPLETED	0	2026-08-12 17:15:44.253	26.1s	25.8s	309.0%	852.5 MB	2 GB	1 GB	862.7 MB
38	6b/204aef	3852688	ALIGN_BAM (barcode_07_TPOSP024)	COMPLETED	0	2026-08-12 17:15:45.072	28.4s	28.1s	308.8%	840 MB	2 GB	1.1 GB	929.7 MB
41	1b/8fac9c	3865688	COMPUTE_BAM_COVERAGE (barcode_04_026104456604)	COMPLETED	0	2026-08-12 17:16:10.387	4.4s	4.1s	100.2%	10 MB	47.9 MB	181.2 MB	99.9 KB
44	ea/6c00f4	3868329	COMPUTE_BAM_COVERAGE (barcode_07_TPOSP024)	COMPLETED	0	2026-08-12 17:16:14.754	4.7s	4.4s	100.1%	10 MB	47.9 MB	196 MB	88.1 KB
40	33/72e503	3862317	CALL_VCF (barcode_01_026104456601)	COMPLETED	0	2026-08-12 17:16:04.518	53.3s	52.9s	99.3%	921.5 MB	1.6 GB	807.8 MB	237.1 MB
35	ee/1a0a21	3845532	MEDAKA_CONSENSUS (barcode_03_026104456603)	COMPLETED	0	2026-08-12 17:15:32.977	1m 38s	1m 38s	283.5%	2.2 GB	16.5 GB	3.7 GB	2.1 GB
42	f4/5f0aac	3867714	CALL_VCF (barcode_04_026104456604)	COMPLETED	0	2026-08-12 17:16:13.482	1m 10s	1m 10s	99.0%	831.7 MB	1.4 GB	870.3 MB	197.8 MB
43	81/5de3e9	3882028	CALL_VCF (barcode_07_TPOSP024)	COMPLETED	0	2026-08-12 17:16:57.814	42.9s	42.5s	99.2%	860.6 MB	1.4 GB	733.3 MB	212.2 MB
45	bb/b46606	3886471	ALIGN_BAM (barcode_03_026104456603)	COMPLETED	0	2026-08-12 17:17:11.074	1m 9s	1m 8s	298.6%	2 GB	2.8 GB	2.7 GB	2.4 GB
46	5c/76526a	3895815	COMPUTE_BAM_COVERAGE (barcode_03_026104456603)	COMPLETED	0	2026-08-12 17:18:19.864	10s	9.7s	100.0%	10 MB	47.9 MB	431.6 MB	99.9 KB
