sample	step	assignedref	read_count	minlengthread	maxlengthread	meanread_length	medianread_length	pident_blast	mean_depth_coverage	clair3_variants	assigned_reads
barcode_01_026104456601	01_RAW	NONE	270202	40	5222	1038.5	1011	NA	NA	NA	NA
barcode_01_026104456601	02_DEHOSTING	NONE	270171	40	4047	1038.4	1011	NA	NA	NA	NA
barcode_01_026104456601	03_FILTERED_TRIMMED	NONE	267630	800	4047	1042.8	1011	NA	NA	NA	NA
barcode_01_026104456601	05_GENOTYPING	A2	19324	800	5000	1042.8	1011	99.703	276313.17	3	19324
barcode_02_026104456602	01_RAW	NONE	594370	40	4121	1007.3	1010	NA	NA	NA	NA
barcode_02_026104456602	02_DEHOSTING	NONE	594357	40	4121	1007.3	1010	NA	NA	NA	NA
barcode_02_026104456602	03_FILTERED_TRIMMED	NONE	587555	800	4121	1012.3	1010	NA	NA	NA	NA
barcode_02_026104456602	05_GENOTYPING	C1	19860	800	5000	1012.3	1010	98.812	588693.25	3	19860
barcode_03_026104456603	01_RAW	NONE	572228	39	8880	1009.6	1011	NA	NA	NA	NA
barcode_03_026104456603	02_DEHOSTING	NONE	571949	39	3963	1010	1011	NA	NA	NA	NA
barcode_03_026104456603	03_FILTERED_TRIMMED	NONE	568442	800	3963	1012	1011	NA	NA	NA	NA
barcode_03_026104456603	05_GENOTYPING	A2	19862	800	5000	1012	1011	99.703	568980.43	1	19862
barcode_04_026104456604	01_RAW	NONE	243372	40	2866	998.6	1010	NA	NA	NA	NA
barcode_04_026104456604	02_DEHOSTING	NONE	236695	40	2866	1008.4	1010	NA	NA	NA	NA
barcode_04_026104456604	03_FILTERED_TRIMMED	NONE	234927	800	2866	1011.4	1010	NA	NA	NA	NA
barcode_04_026104456604	05_GENOTYPING	D3	19913	800	5000	1011.4	1010	98.119	235131.77	4	19913
barcode_05_026098184903	01_RAW	NONE	452976	15	12519	910.9	891	NA	NA	NA	NA
barcode_05_026098184903	02_DEHOSTING	NONE	130510	15	2536	1005.1	1010	NA	NA	NA	NA
barcode_05_026098184903	03_FILTERED_TRIMMED	NONE	128857	800	2536	1011.1	1010	NA	NA	NA	NA
barcode_05_026098184903	05_GENOTYPING	E	19855	800	5000	1011.1	1010	98.119	128931.13	10	19855
barcode_07_TPOSP024	01_RAW	NONE	243739	40	4151	1032.8	1010	NA	NA	NA	NA
barcode_07_TPOSP024	02_DEHOSTING	NONE	243729	40	4151	1032.7	1010	NA	NA	NA	NA
barcode_07_TPOSP024	03_FILTERED_TRIMMED	NONE	241358	801	4151	1036.7	1010	NA	NA	NA	NA
barcode_07_TPOSP024	05_GENOTYPING	D3	19397	800	5000	1036.7	1010	98.812	247727.72	1	19397
