task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
9	9d/2f0653	3736454	MERGE_FASTQ (barcode_64_026080721102xPCR1test)	COMPLETED	0	2026-08-19 16:56:02.127	352ms	33ms	123.4%	0	0	12.2 MB	11.9 MB
13	b6/2142db	3736502	MERGE_FASTQ (barcode_68_TPOSP020xPCR1test)	COMPLETED	0	2026-08-19 16:56:02.157	406ms	32ms	145.0%	0	0	9.5 MB	9.3 MB
10	16/f989be	3736526	MERGE_FASTQ (barcode_65_026083024001xPCR1test)	COMPLETED	0	2026-08-19 16:56:02.166	471ms	47ms	125.9%	3.2 MB	18.8 MB	29.6 MB	29.4 MB
6	38/3864f7	3736600	MERGE_FASTQ (barcode_61_TEXTP020)	COMPLETED	0	2026-08-19 16:56:02.186	476ms	26ms	120.8%	0	0	2.4 MB	2.1 MB
11	41/915ffe	3736568	MERGE_FASTQ (barcode_66_026084395002xPCR1test)	COMPLETED	0	2026-08-19 16:56:02.176	500ms	55ms	112.6%	3.3 MB	18.8 MB	38.9 MB	38.6 MB
8	c3/f02721	3736646	MERGE_FASTQ (barcode_63_TNEGP020)	COMPLETED	0	2026-08-19 16:56:02.195	490ms	31ms	127.8%	0	0	2.5 MB	2.3 MB
7	e0/00ca95	3736473	MERGE_FASTQ (barcode_62_TPOSP020)	COMPLETED	0	2026-08-19 16:56:02.146	592ms	270ms	101.7%	9.3 MB	72.6 MB	357.6 MB	357.3 MB
4	84/4d3acc	3736734	MERGE_FASTQ (barcode_59_026083024001)	COMPLETED	0	2026-08-19 16:56:02.214	644ms	147ms	111.7%	9.3 MB	72.6 MB	163 MB	162.7 MB
12	9f/a45bc3	3736876	MERGE_FASTQ (barcode_67_TEXTP020xPCR1test)	COMPLETED	0	2026-08-19 16:56:02.238	627ms	27ms	121.6%	0	0	309.9 KB	52.5 KB
3	49/5dc455	3736683	MERGE_FASTQ (barcode_58_026080721102)	COMPLETED	0	2026-08-19 16:56:02.205	677ms	209ms	107.0%	9.2 MB	72.6 MB	251 MB	250.7 MB
5	b6/e10809	3736828	MERGE_FASTQ (barcode_60_026084395002)	COMPLETED	0	2026-08-19 16:56:02.231	674ms	117ms	113.3%	9.1 MB	72.6 MB	121.9 MB	121.7 MB
2	6a/b9afc3	3736775	MERGE_FASTQ (barcode_57_026079402703)	COMPLETED	0	2026-08-19 16:56:02.223	685ms	164ms	111.0%	9.4 MB	72.6 MB	186.7 MB	186.4 MB
22	97/7192f6	3739156	DEHOST_HOSTILE (barcode_67_TEXTP020xPCR1test)	COMPLETED	0	2026-08-19 16:56:02.876	12s	11.7s	100.1%	8.2 GB	8.6 GB	7.2 GB	3.7 MB
26	dd/efbdd3	3772341	TRIM_CHOPPER (barcode_67_TEXTP020xPCR1test)	COMPLETED	0	2026-08-19 16:56:14.883	371ms	44ms	154.7%	3.2 MB	18.8 MB	382.7 KB	180.4 KB
17	39/c1c5e5	3738181	DEHOST_HOSTILE (barcode_61_TEXTP020)	COMPLETED	0	2026-08-19 16:56:02.675	12.9s	12.6s	105.6%	8.2 GB	8.6 GB	7.2 GB	39.7 MB
15	dc/f8ab8e	3737738	DEHOST_HOSTILE (barcode_68_TPOSP020xPCR1test)	COMPLETED	0	2026-08-19 16:56:02.578	13.2s	12.9s	105.6%	8.2 GB	8.8 GB	7.3 GB	116.2 MB
28	77/979b4c	3773262	TRIM_CHOPPER (barcode_61_TEXTP020)	COMPLETED	0	2026-08-19 16:56:15.630	490ms	158ms	228.5%	12.6 MB	373.1 MB	10.5 MB	9.3 MB
29	4f/e0b481	3774283	TRIM_CHOPPER (barcode_68_TPOSP020xPCR1test)	COMPLETED	0	2026-08-19 16:56:15.815	1.3s	1s	164.0%	16 MB	309.1 MB	42 MB	41.4 MB
16	5d/9e889e	3738159	DEHOST_HOSTILE (barcode_65_026083024001xPCR1test)	COMPLETED	0	2026-08-19 16:56:02.667	19.9s	19.5s	134.6%	8.2 GB	8.6 GB	7.4 GB	313.6 MB
14	b5/e86a2a	3737517	DEHOST_HOSTILE (barcode_64_026080721102xPCR1test)	COMPLETED	0	2026-08-19 16:56:02.523	22s	21.6s	144.8%	8.2 GB	8.6 GB	7.3 GB	90.6 MB
33	fc/d873b1	3784821	TRIM_CHOPPER (barcode_64_026080721102xPCR1test)	COMPLETED	0	2026-08-19 16:56:24.509	671ms	371ms	147.4%	15.2 MB	309.1 MB	11.2 MB	10.9 MB
32	b1/e8f69e	3782754	TRIM_CHOPPER (barcode_65_026083024001xPCR1test)	COMPLETED	0	2026-08-19 16:56:22.558	2.9s	2.6s	157.4%	45.1 MB	309.1 MB	97.5 MB	96.6 MB
1	38/68b363	3736926	GENERATE_RUN_METADATA	COMPLETED	0	2026-08-19 16:56:02.246	25.8s	25.2s	100.7%	5.1 MB	24.1 MB	1.1 GB	20.8 KB
24	89/cce85d	3739409	DEHOST_HOSTILE (barcode_60_026084395002)	COMPLETED	0	2026-08-19 16:56:02.919	27.2s	26.8s	135.1%	8.2 GB	8.9 GB	8.2 GB	1.4 GB
18	b4/520423	3738263	DEHOST_HOSTILE (barcode_66_026084395002xPCR1test)	COMPLETED	0	2026-08-19 16:56:02.690	27.9s	27.5s	152.6%	8.2 GB	8.6 GB	7.5 GB	379.8 MB
37	8a/1b9358	3793957	TRIM_CHOPPER (barcode_66_026084395002xPCR1test)	COMPLETED	0	2026-08-19 16:56:30.590	3s	2.7s	160.2%	47.1 MB	373.1 MB	104.7 MB	103.7 MB
27	71/2de7bb	3772518	AMPLICON_SORTER (barcode_67_TEXTP020xPCR1test)	COMPLETED	0	2026-08-19 16:56:15.289	18.9s	18.8s	9.6%	601.2 MB	6.9 GB	14.2 MB	197.7 KB
21	ae/3fcc01	3739136	DEHOST_HOSTILE (barcode_59_026083024001)	COMPLETED	0	2026-08-19 16:56:02.871	32.3s	31.9s	139.1%	8.2 GB	9.1 GB	8.6 GB	1.9 GB
25	be/e1a9de	3739446	DEHOST_HOSTILE (barcode_57_026079402703)	COMPLETED	0	2026-08-19 16:56:02.924	34.5s	34.1s	141.0%	8.2 GB	9.1 GB	8.8 GB	2.2 GB
36	6a/0707e3	3793605	TRIM_CHOPPER (barcode_60_026084395002)	COMPLETED	0	2026-08-19 16:56:30.182	13.7s	13.4s	161.5%	195.1 MB	373.1 MB	533.7 MB	523.9 MB
