, barcode_60_026084395002_trimmed
Total, 39657
barcode_60_026084395002_trimmed_0_0, 5860
barcode_60_026084395002_trimmed_0_1, 1373
barcode_60_026084395002_trimmed_0_2, 28
barcode_60_026084395002_trimmed_0_3, 69
barcode_60_026084395002_trimmed_0_4, 272
barcode_60_026084395002_trimmed_0_5, 23
barcode_60_026084395002_trimmed_0_6, 123
barcode_60_026084395002_trimmed_0_7, 70
barcode_60_026084395002_trimmed_0_8, 10
barcode_60_026084395002_trimmed_0_9, 72
barcode_60_026084395002_trimmed_0_10, 35
barcode_60_026084395002_trimmed_0_11, 29
barcode_60_026084395002_trimmed_1_0, 18
barcode_60_026084395002_trimmed_1_1, 15
barcode_60_026084395002_trimmed_2_0, 44
barcode_60_026084395002_trimmed_2_1, 47
barcode_60_026084395002_trimmed_2_2, 84
barcode_60_026084395002_trimmed_3_0, 155
