cluster_id	real_read_count
consensus_barcode_60_026084395002_trimmed_0_3(69)	199
consensus_barcode_60_026084395002_trimmed_0_1(1373)	1730
consensus_barcode_60_026084395002_trimmed_0_11(29)	849
consensus_barcode_60_026084395002_trimmed_3_0(155)	16997
consensus_barcode_60_026084395002_trimmed_0_5(23)	161
consensus_barcode_60_026084395002_trimmed_2_1(47)	20
consensus_barcode_60_026084395002_trimmed_0_8(10)	127
consensus_barcode_60_026084395002_trimmed_0_6(123)	254
consensus_barcode_60_026084395002_trimmed_2_2(84)	37
consensus_barcode_60_026084395002_trimmed_2_0(44)	229
consensus_barcode_60_026084395002_trimmed_0_0(5860)	13830
consensus_barcode_60_026084395002_trimmed_0_7(70)	397
consensus_barcode_60_026084395002_trimmed_0_9(72)	2436
consensus_barcode_60_026084395002_trimmed_1_0(18)	176
consensus_barcode_60_026084395002_trimmed_0_2(28)	320
consensus_barcode_60_026084395002_trimmed_0_4(272)	1139
consensus_barcode_60_026084395002_trimmed_1_1(15)	468
consensus_barcode_60_026084395002_trimmed_0_10(35)	288
