cluster_id	real_read_count
consensus_barcode_62_TPOSP020_trimmed_0_1(31)	1761
consensus_barcode_62_TPOSP020_trimmed_0_4(16)	1379
consensus_barcode_62_TPOSP020_trimmed_2_0(44)	472
consensus_barcode_62_TPOSP020_trimmed_0_7(46)	1286
consensus_barcode_62_TPOSP020_trimmed_0_0(8878)	98676
consensus_barcode_62_TPOSP020_trimmed_0_3(29)	735
consensus_barcode_62_TPOSP020_trimmed_0_9(60)	3842
consensus_barcode_62_TPOSP020_trimmed_0_8(26)	715
consensus_barcode_62_TPOSP020_trimmed_0_5(8)	1740
consensus_barcode_62_TPOSP020_trimmed_0_2(36)	304
consensus_barcode_62_TPOSP020_trimmed_0_6(23)	178
