sample_id	genotype	filename
barcode_57_026079402703	C1	barcode_57_026079402703_Geno_C1.fasta
barcode_58_026080721102	E	barcode_58_026080721102_Geno_E.fasta
barcode_59_026083024001	A2	barcode_59_026083024001_Geno_A2.fasta
barcode_60_026084395002	A4	barcode_60_026084395002_Geno_A4.fasta
barcode_61_TEXTP020	D10	barcode_61_TEXTP020_Geno_D10.fasta
barcode_62_TPOSP020	D3	barcode_62_TPOSP020_Geno_D3.fasta
barcode_64_026080721102xPCR1test	E	barcode_64_026080721102xPCR1test_Geno_E.fasta
barcode_65_026083024001xPCR1test	A2	barcode_65_026083024001xPCR1test_Geno_A2.fasta
barcode_66_026084395002xPCR1test	A5	barcode_66_026084395002xPCR1test_Geno_A5.fasta
barcode_68_TPOSP020xPCR1test	D3	barcode_68_TPOSP020xPCR1test_Geno_D3.fasta
