sample	step	assignedref	read_count	minlengthread	maxlengthread	meanread_length	medianread_length	pident_blast	mean_depth_coverage	clair3_variants	assigned_reads
barcode_57_026079402703	01_RAW	NONE	58141	208	11707	3185	3215	NA	NA	NA	NA
barcode_57_026079402703	02_DEHOSTING	NONE	58058	212	11707	3187.3	3215	NA	NA	NA	NA
barcode_57_026079402703	03_FILTERED_TRIMMED	NONE	57186	1004	4985	3188	3215	NA	NA	NA	NA
barcode_57_026079402703	05_GENOTYPING	C1	57182	1000	5000	3188	3215	98.022	56754	6	57182
barcode_58_026080721102	01_RAW	NONE	78748	86	14452	3149.7	3154	NA	NA	NA	NA
barcode_58_026080721102	02_DEHOSTING	NONE	78697	86	14452	3150.7	3154	NA	NA	NA	NA
barcode_58_026080721102	03_FILTERED_TRIMMED	NONE	75808	1000	4999	3095.6	3154	NA	NA	NA	NA
barcode_58_026080721102	05_GENOTYPING	E	75807	1000	5000	3095.6	3154	98.358	9394.82	5	75807
barcode_59_026083024001	01_RAW	NONE	60666	80	11827	2646.9	3148	NA	NA	NA	NA
barcode_59_026083024001	02_DEHOSTING	NONE	60634	80	11827	2647.3	3148	NA	NA	NA	NA
barcode_59_026083024001	03_FILTERED_TRIMMED	NONE	56749	1000	5000	2666.4	3151	NA	NA	NA	NA
barcode_59_026083024001	05_GENOTYPING	A2	56749	1000	5000	2666.4	3151	98.142	3357.3	41	56749
barcode_60_026084395002	01_RAW	NONE	42865	81	12335	2802.4	3158	NA	NA	NA	NA
barcode_60_026084395002	02_DEHOSTING	NONE	42817	81	12335	2802.8	3158	NA	NA	NA	NA
barcode_60_026084395002	03_FILTERED_TRIMMED	NONE	39657	1000	5000	2808.1	3158	NA	NA	NA	NA
barcode_60_026084395002	05_GENOTYPING	A4	35493	1000	5000	2808.1	3158	96.54	2838.17	11	35493
barcode_61_TEXTP020	01_RAW	NONE	3674	53	9144	794.2	686	NA	NA	NA	NA
barcode_61_TEXTP020	02_DEHOSTING	NONE	3669	53	9144	793.3	686	NA	NA	NA	NA
barcode_61_TEXTP020	03_FILTERED_TRIMMED	NONE	977	1000	3920	1421.2	1298	NA	NA	NA	NA
barcode_61_TEXTP020	05_GENOTYPING	D10	939	1000	5000	1421.2	1298	100	355.39	0	939
barcode_62_TPOSP020	01_RAW	NONE	114757	82	12383	3094.6	3123	NA	NA	NA	NA
barcode_62_TPOSP020	02_DEHOSTING	NONE	114757	82	12383	3094.6	3123	NA	NA	NA	NA
barcode_62_TPOSP020	03_FILTERED_TRIMMED	NONE	111088	1000	4992	3060.5	3123	NA	NA	NA	NA
barcode_62_TPOSP020	05_GENOTYPING	D3	111088	1000	5000	3060.5	3123	98.803	12481.39	4	111088
barcode_64_026080721102xPCR1test	01_RAW	NONE	4744	156	6691	2531.9	2726	NA	NA	NA	NA
barcode_64_026080721102xPCR1test	02_DEHOSTING	NONE	769	256	6187	3121	3212	NA	NA	NA	NA
barcode_64_026080721102xPCR1test	03_FILTERED_TRIMMED	NONE	761	1144	4851	3132.6	3212	NA	NA	NA	NA
barcode_64_026080721102xPCR1test	05_GENOTYPING	E	670	1000	5000	3132.6	3212	98.397	263.71	5	670
barcode_65_026083024001xPCR1test	01_RAW	NONE	9869	125	8156	2976.4	3219	NA	NA	NA	NA
barcode_65_026083024001xPCR1test	02_DEHOSTING	NONE	6820	125	6887	3130.9	3221	NA	NA	NA	NA
barcode_65_026083024001xPCR1test	03_FILTERED_TRIMMED	NONE	6778	1047	4995	3126	3221	NA	NA	NA	NA
barcode_65_026083024001xPCR1test	05_GENOTYPING	A2	6758	1000	5000	3126	3221	98.079	4153.05	10	6758
barcode_66_026084395002xPCR1test	01_RAW	NONE	12761	188	9414	3033.8	3219	NA	NA	NA	NA
barcode_66_026084395002xPCR1test	02_DEHOSTING	NONE	7202	497	8203	3194.3	3221	NA	NA	NA	NA
barcode_66_026084395002xPCR1test	03_FILTERED_TRIMMED	NONE	7137	1001	4845	3186.6	3221	NA	NA	NA	NA
barcode_66_026084395002xPCR1test	05_GENOTYPING	A5	6991	1000	5000	3186.6	3221	96.395	3276.16	13	6991
barcode_68_TPOSP020xPCR1test	01_RAW	NONE	2900	202	9705	3177.1	3182	NA	NA	NA	NA
barcode_68_TPOSP020xPCR1test	02_DEHOSTING	NONE	2898	202	9705	3179.1	3182	NA	NA	NA	NA
barcode_68_TPOSP020xPCR1test	03_FILTERED_TRIMMED	NONE	2875	1042	4387	3169.9	3182	NA	NA	NA	NA
barcode_68_TPOSP020xPCR1test	05_GENOTYPING	D3	2873	1000	5000	3169.9	3182	98.794	2862.49	5	2873
