sample	genotype	best_cluster	total_reads	ratio_percent	ratio_num	pident	length	strand	status	merge_note
barcode_57_026079402703	C1	barcode_57_026079402703_C1	57182	100.00	100.0	98.022	3223	plus	VALIDATED	
barcode_58_026080721102	E	barcode_58_026080721102_E	75807	100.00	100.0	98.358	3160	plus	VALIDATED	Regroupement de c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
barcode_59_026083024001	A2	barcode_59_026083024001_A2	56749	100.00	100.0	98.142	3213	plus	VALIDATED	Regroupement de c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
barcode_60_026084395002	A6	barcode_60_026084395002_A6	739	2.08	2.08210069591187	95.553	1463	plus	REJECTED	Regroupement de c1,c6,c8,c9,c10
barcode_60_026084395002	A5	barcode_60_026084395002_A5	1730	4.87	4.874200546586651	97.337	1868	minus	REJECTED	
barcode_60_026084395002	A3	barcode_60_026084395002_A3	1695	4.78	4.77558955286958	95.02	2364	plus	REJECTED	Regroupement de c3,c5,c12,c18
barcode_60_026084395002	A4	barcode_60_026084395002_A4	35493	100.00	100.0	96.54	3169	plus	VALIDATED	Regroupement de c4,c7,c11,c13,c14,c15,c16,c17
barcode_61_TEXTP020	D10	barcode_61_TEXTP020_D10	939	100.00	100.0	100.0	2173	minus	VALIDATED	Regroupement de c1,c2
barcode_62_TPOSP020	D3	barcode_62_TPOSP020_D3	111088	100.00	100.0	98.803	3130	minus	VALIDATED	Regroupement de c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
barcode_64_026080721102xPCR1test	Unknown	barcode_64_026080721102xPCR1test_Unknown	90	13.43	13.432835820895523	0.0	2913	plus	REJECTED	Regroupement de c1,c3
barcode_64_026080721102xPCR1test	E	barcode_64_026080721102xPCR1test_E	670	100.00	100.0	98.397	3219	plus	VALIDATED	
barcode_65_026083024001xPCR1test	A2	barcode_65_026083024001xPCR1test_A2	6758	100.00	100.0	98.079	3226	plus	VALIDATED	Regroupement de c1,c2
barcode_66_026084395002xPCR1test	A4	barcode_66_026084395002xPCR1test_A4	136	1.95	1.9453583178372191	97.304	1926	plus	REJECTED	Regroupement de c1,c2
barcode_66_026084395002xPCR1test	A5	barcode_66_026084395002xPCR1test_A5	6991	100.00	100.0	96.395	3228	minus	VALIDATED	
barcode_68_TPOSP020xPCR1test	D3	barcode_68_TPOSP020xPCR1test_D3	2873	100.00	100.0	98.794	3188	plus	VALIDATED	
