qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
consensus_barcode_73_025026430002_trimmed_0_0(1179)	E	98.892	3159	23	5	1	3147	3159	1	0.0	5629
consensus_barcode_73_025026430002_trimmed_0_0(1179)	D8	92.566	3161	219	9	1	3147	3159	1	0.0	4530
consensus_barcode_73_025026430002_trimmed_0_0(1179)	G	89.024	3125	326	10	1	3111	3195	74	0.0	3855
consensus_barcode_73_025026430002_trimmed_0_0(1179)	G	97.959	49	0	1	3100	3147	49	1	2.30e-17	84.2
consensus_barcode_73_025026430002_trimmed_0_0(1179)	D3	92.984	2138	140	4	1	2128	3129	992	0.0	3109
consensus_barcode_73_025026430002_trimmed_0_0(1179)	D3	90.982	998	89	1	2151	3147	998	1	0.0	1343
consensus_barcode_73_025026430002_trimmed_0_0(1179)	D7	92.941	2139	139	6	1	2128	3129	992	0.0	3103
consensus_barcode_73_025026430002_trimmed_0_0(1179)	D7	90.481	998	94	1	2151	3147	998	1	0.0	1319
consensus_barcode_73_025026430002_trimmed_0_1(620)	D1	98.114	3129	59	0	1	3129	1	3129	0.0	5452
consensus_barcode_73_025026430002_trimmed_0_1(620)	D2	97.220	3129	87	0	1	3129	1	3129	0.0	5297
consensus_barcode_73_025026430002_trimmed_0_1(620)	D3	96.516	3129	109	0	1	3129	1	3129	0.0	5175
consensus_barcode_73_025026430002_trimmed_0_1(620)	D10	96.229	3129	118	0	1	3129	1	3129	0.0	5125
consensus_barcode_73_025026430002_trimmed_0_1(620)	D4	95.494	3129	141	0	1	3129	1	3129	0.0	4998
